country,station,ds,y,elevation,coord,lat,lon
Algeria,Bordj Badj Mokhtar,1998-01-01,17.8,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-02-01,21.85,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-03-01,22.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-04-01,31,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-05-01,33.75,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-06-01,36.55,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-07-01,36.65,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-08-01,36.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-09-01,34.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-10-01,29.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-11-01,21.65,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1998-12-01,18.65,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-01-01,15.4,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-02-01,16.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-03-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-04-01,30.64,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-05-01,33.8,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-06-01,35.35,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-07-01,35.95,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-08-01,34.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-09-01,35.1,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-10-01,29.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-11-01,23.25,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1999-12-01,17.69,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-01-01,17.8,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-02-01,17.94,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-03-01,24.34,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-04-01,30.95,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-06-01,35.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-07-01,35.4,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-08-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-09-01,35.09,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-10-01,28.55,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-11-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2000-12-01,15.55,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-01-01,16.35,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-02-01,18.75,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-03-01,25.85,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-04-01,27.2,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-05-01,33.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-06-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-07-01,35.75,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-08-01,35.15,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-09-01,34.95,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-10-01,29.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-11-01,23.2,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2001-12-01,20,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-01-01,16.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-02-01,19,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-03-01,24.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-04-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-05-01,33.9,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-06-01,36.1,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-07-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-08-01,35.75,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-09-01,35.25,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-10-01,28.35,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-11-01,23.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2002-12-01,20.2,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-01-01,17.75,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-02-01,19.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-03-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-04-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-06-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-07-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-08-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-09-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-10-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-11-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2003-12-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-01-01,18.1,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-02-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-03-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-04-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-06-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-07-01,35.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-08-01,35.8,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-09-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-10-01,29.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-11-01,22.35,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2004-12-01,19.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-01-01,15.85,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-02-01,19.75,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-03-01,23.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-04-01,29.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-06-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-07-01,36.15,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-08-01,36.2,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-09-01,33.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-10-01,30.85,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-11-01,24.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2005-12-01,19.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-01-01,15.75,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-02-01,19,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-03-01,24.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-04-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-06-01,36.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-07-01,36.47,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-08-01,35.8,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-09-01,34.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-10-01,30.24,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-11-01,23.1,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2006-12-01,17.75,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-01-01,18.1,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-02-01,21.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-03-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-04-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-06-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-07-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-08-01,35.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-09-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-10-01,30.2,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-11-01,23.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2007-12-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-01-01,14.45,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-02-01,21,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-03-01,25.8,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-04-01,29.45,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-05-01,33.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-06-01,36.95,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-07-01,,399,"0.95 E, 21.333 N",0.95,21.333
